VEHICULO;FECHA_ENTRADA;FECHA_SALIDA;dif_minutos;DISTANCIA_TOTAL;consumo_TOTAL;SOC_ENTRADA;SOC_SALIDA;DIF_SOC;N_Ordenes
37;2017-10-11 21:20:56.033;2017-10-11 05:06:59.593;974;0;-227075;34;89;55;77
37;2017-10-11 21:32:07.397;2017-10-11 05:06:59.593;986;1976;-1156915;34;89;55;77
33;2017-10-13 07:40:58.237;2017-10-11 22:17:59.190;2003;6137558;-498921842;34;89;55;31
32;2017-10-13 08:37:18.027;2017-10-11 16:37:14.273;2400;0;-1093280;34;89;55;40
35;2017-10-13 10:44:40.083;2017-10-11 15:54:55.190;2570;5456269;-221422202;34;89;55;79
37;2017-10-13 12:53:04.903;2017-10-11 22:45:43.317;2288;11823244;-567161711;34;89;55;73
40;2017-10-16 04:16:47.757;2017-10-13 11:09:40.040;3907;-226;-288379;15;89;74;41
33;2017-10-16 06:20:04.580;2017-10-13 17:38:49.390;3642;469998;-578170865;34;99;65;0
32;2017-10-16 09:04:57.660;2017-10-13 13:08:55.250;4076;-18;-507095;34;89;55;51
38;2017-10-16 11:31:30.927;2017-10-14 22:34:09.663;2217;0;-995272;34;100;66;56
38;2017-10-16 11:33:17.140;2017-10-14 22:34:09.663;2219;18;-437842;34;100;66;56
37;2017-10-16 12:22:36.760;2017-10-13 17:21:43.590;4021;-1079;-956089;33;89;56;66
33;2017-10-16 20:26:51.987;2017-10-16 07:31:21.387;775;5882066;-261268294;34;97;63;70
37;2017-10-17 09:38:39.550;2017-10-17 08:19:12.790;79;17;-12490787;87;89;2;0
37;2017-10-17 10:17:40.707;2017-10-17 09:40:44.790;37;157982;-12455351;87;89;2;0
37;2017-10-17 10:29:46.503;2017-10-17 10:19:28.330;10;-127;-1617568;88;89;1;0
37;2017-10-17 11:08:25.180;2017-10-17 10:30:25.287;38;0;-5823938;88;89;1;0
40;2017-10-17 12:05:20.703;2017-10-16 20:13:28.010;952;94192;-2817995;34;89;55;79
38;2017-10-17 15:06:02.220;2017-10-17 01:06:35.480;840;2104222;-86581953;34;89;55;70
32;2017-10-17 17:52:15.040;2017-10-16 23:22:24.037;1110;65479;-692379;34;89;55;121
32;2017-10-17 17:56:42.550;2017-10-16 23:22:24.037;1114;49;-331118;34;89;55;121
35;2017-10-18 03:43:14.137;2017-10-17 11:31:40.243;972;10844423;-512824038;34;89;55;61
32;2017-10-18 11:25:33.393;2017-10-17 19:03:46.500;982;212405;-10943815;33;89;56;55
37;2017-10-18 18:40:02.670;2017-10-18 05:33:20.920;787;6236619;-279392330;34;89;55;72
33;2017-10-19 04:27:33.953;2017-10-18 13:10:20.737;917;12632369;-559016524;33;89;56;62
41;2017-10-19 06:48:28.370;2017-10-18 13:17:05.333;1051;53116;-5255879;34;89;55;59
41;2017-10-19 06:49:26.140;2017-10-18 13:17:05.333;1052;0;1367265;34;89;55;59
35;2017-10-19 13:53:36.810;2017-10-18 18:49:21.450;1144;0;-266093;33;89;56;51
35;2017-10-19 13:54:41.280;2017-10-18 18:49:21.450;1145;5674;-1017111;33;89;56;51
35;2017-10-19 14:00:31.540;2017-10-18 18:49:21.450;1151;90;-1325436;33;89;56;51
32;2017-10-20 03:41:01.510;2017-10-19 08:34:36.570;1147;0;-386747;28;89;61;136
32;2017-10-20 03:42:48.690;2017-10-19 08:34:36.570;1148;62213;-1884965;28;89;61;136
35;2017-10-20 05:25:27.167;2017-10-19 14:54:46.127;871;7515846;-355948983;34;79;45;54
40;2017-10-20 09:01:37.337;2017-10-19 16:23:31.703;998;10953212;-531253648;34;89;55;63
37;2017-10-20 16:35:07.567;2017-10-19 19:54:07.727;1241;65281;-2014181;31;89;58;68
33;2017-10-20 23:22:51.947;2017-10-19 22:27:01.690;1495;11048046;-591234048;33;89;56;62
43;2017-10-22 21:53:56.297;2017-10-20 21:25:37.760;2908;122206;-435807487;43;89;46;0
38;2017-10-22 21:55:02.107;2017-10-20 05:25:38.617;3870;7882116;-859482593;6;89;83;41
35;2017-10-22 21:56:23.977;2017-10-20 06:48:53.760;3788;232;2239911;19;92;73;30
33;2017-10-23 03:40:25.577;2017-10-19 22:27:01.690;4633;3205487;-521683076;34;89;55;83
33;2017-10-23 03:53:03.733;2017-10-19 22:27:01.690;4646;52326;-1846002;34;89;55;83
37;2017-10-23 05:13:57.483;2017-10-20 17:50:59.740;3563;90187;-3339848;30;89;59;14
37;2017-10-23 05:19:44.460;2017-10-20 17:50:59.740;3569;-126;-749666;30;89;59;14
