BOTS;Operaciones;fecha;Mes;dia_semana;hora
4;13;11/10/2017;10;3;5
6;44;11/10/2017;10;3;6
7;56;11/10/2017;10;3;7
6;12;11/10/2017;10;3;8
6;55;11/10/2017;10;3;9
6;26;11/10/2017;10;3;10
7;35;11/10/2017;10;3;11
7;32;11/10/2017;10;3;12
7;37;11/10/2017;10;3;13
5;11;11/10/2017;10;3;14
5;23;11/10/2017;10;3;15
5;26;11/10/2017;10;3;16
4;19;11/10/2017;10;3;17
6;21;11/10/2017;10;3;18
7;38;11/10/2017;10;3;19
6;29;11/10/2017;10;3;20
4;26;11/10/2017;10;3;21
3;12;11/10/2017;10;3;22
2;2;11/10/2017;10;3;23
4;21;12/10/2017;10;4;22
4;19;12/10/2017;10;4;23
1;2;13/10/2017;10;5;0
2;19;13/10/2017;10;5;1
2;4;13/10/2017;10;5;2
1;1;13/10/2017;10;5;3
1;1;13/10/2017;10;5;5
5;16;13/10/2017;10;5;6
7;37;13/10/2017;10;5;7
6;40;13/10/2017;10;5;8
5;55;13/10/2017;10;5;9
4;42;13/10/2017;10;5;10
4;40;13/10/2017;10;5;11
5;41;13/10/2017;10;5;12
5;32;13/10/2017;10;5;13
4;27;13/10/2017;10;5;14
3;12;13/10/2017;10;5;15
4;29;13/10/2017;10;5;16
5;10;13/10/2017;10;5;17
3;6;13/10/2017;10;5;18
4;9;13/10/2017;10;5;20
3;9;13/10/2017;10;5;21
3;12;13/10/2017;10;5;22
3;5;13/10/2017;10;5;23
1;1;16/10/2017;10;1;3
1;2;16/10/2017;10;1;4
6;21;16/10/2017;10;1;6
6;40;16/10/2017;10;1;7
5;43;16/10/2017;10;1;8
6;43;16/10/2017;10;1;9
5;58;16/10/2017;10;1;10
6;40;16/10/2017;10;1;11
5;50;16/10/2017;10;1;12
6;52;16/10/2017;10;1;13
6;48;16/10/2017;10;1;14
6;64;16/10/2017;10;1;15
6;34;16/10/2017;10;1;16
5;50;16/10/2017;10;1;17
5;31;16/10/2017;10;1;18
5;30;16/10/2017;10;1;19
6;38;16/10/2017;10;1;20
5;52;16/10/2017;10;1;21
6;35;16/10/2017;10;1;22
5;21;16/10/2017;10;1;23
4;13;17/10/2017;10;2;0
2;2;17/10/2017;10;2;1
1;3;17/10/2017;10;2;2
3;6;17/10/2017;10;2;3
3;20;17/10/2017;10;2;4
5;17;17/10/2017;10;2;5
6;27;17/10/2017;10;2;6
6;82;17/10/2017;10;2;7
6;43;17/10/2017;10;2;8
6;54;17/10/2017;10;2;9
7;41;17/10/2017;10;2;10
7;44;17/10/2017;10;2;11
8;48;17/10/2017;10;2;12
5;49;17/10/2017;10;2;13
7;37;17/10/2017;10;2;14
7;33;17/10/2017;10;2;15
5;23;17/10/2017;10;2;16
7;41;17/10/2017;10;2;17
6;33;17/10/2017;10;2;18
8;52;17/10/2017;10;2;19
8;28;17/10/2017;10;2;20
8;34;17/10/2017;10;2;21
6;18;17/10/2017;10;2;22
5;6;17/10/2017;10;2;23
2;3;18/10/2017;10;3;0
5;17;18/10/2017;10;3;1
2;3;18/10/2017;10;3;2
7;18;18/10/2017;10;3;3
6;19;18/10/2017;10;3;4
7;22;18/10/2017;10;3;5
8;24;18/10/2017;10;3;6
8;47;18/10/2017;10;3;7
6;30;18/10/2017;10;3;8
8;40;18/10/2017;10;3;9
7;47;18/10/2017;10;3;10
7;40;18/10/2017;10;3;11
6;36;18/10/2017;10;3;12
8;42;18/10/2017;10;3;13
8;36;18/10/2017;10;3;14
8;31;18/10/2017;10;3;15
7;23;18/10/2017;10;3;16
7;53;18/10/2017;10;3;17
7;44;18/10/2017;10;3;18
7;31;18/10/2017;10;3;19
8;66;18/10/2017;10;3;20
8;50;18/10/2017;10;3;21
6;21;18/10/2017;10;3;22
4;19;18/10/2017;10;3;23
3;4;19/10/2017;10;4;0
4;17;19/10/2017;10;4;1
2;2;19/10/2017;10;4;2
5;13;19/10/2017;10;4;3
4;8;19/10/2017;10;4;4
2;5;19/10/2017;10;4;5
5;37;19/10/2017;10;4;6
6;17;19/10/2017;10;4;7
6;31;19/10/2017;10;4;8
7;69;19/10/2017;10;4;9
6;22;19/10/2017;10;4;10
7;39;19/10/2017;10;4;11
7;26;19/10/2017;10;4;12
7;37;19/10/2017;10;4;13
4;9;19/10/2017;10;4;14
5;30;19/10/2017;10;4;15
2;2;19/10/2017;10;4;16
6;18;19/10/2017;10;4;17
8;62;19/10/2017;10;4;18
8;100;19/10/2017;10;4;19
8;37;19/10/2017;10;4;20
