IDREGISTRO;FECHA;VEHICULO;INDICE;ESTACION;TEMPERATURA;SOC;TENSION;CONSUMO
48139;2017-10-02 00:35:38.100;37;63;3716;-127;99;2703;0
48140;2017-10-02 00:35:42.363;37;63;3716;127;99;2703;0
48141;2017-10-02 00:35:46.260;37;63;3716;-128;99;2703;0
48142;2017-10-02 00:35:50.330;37;63;3716;-125;99;2703;0
48143;2017-10-02 00:35:54.280;37;63;3716;-127;99;2702;0
48144;2017-10-02 00:35:58.293;37;63;3716;-127;99;2702;0
48145;2017-10-02 00:36:02.287;37;63;3716;-125;99;2702;0
48146;2017-10-02 00:36:06.283;37;63;3716;-127;99;2702;0
48147;2017-10-02 00:36:10.390;37;63;3716;-125;99;2701;0
48148;2017-10-02 00:36:14.337;37;63;3716;-127;99;2701;0
48149;2017-10-02 00:36:18.397;37;63;3716;-128;99;2701;0
48150;2017-10-02 00:36:22.620;37;63;3716;-126;99;2701;0
48151;2017-10-02 00:36:26.320;37;63;3716;-128;99;2701;0
48152;2017-10-02 00:36:30.327;37;63;3716;-124;99;2701;0
48153;2017-10-02 00:36:34.330;37;63;3716;-126;99;2700;0
48154;2017-10-02 00:36:38.330;37;63;3716;126;99;2700;0
48155;2017-10-02 00:36:42.360;37;63;3716;-126;99;2700;0
48156;2017-10-02 00:36:46.390;37;63;3716;-126;99;2700;0
48157;2017-10-02 00:36:50.397;37;63;3716;126;99;2700;0
48158;2017-10-02 00:36:54.387;37;63;3716;-125;99;2700;0
48159;2017-10-02 00:36:58.370;37;63;3716;126;99;2700;0
48160;2017-10-02 00:37:02.423;37;63;3716;-125;99;2699;0
48161;2017-10-02 00:37:07.400;37;63;3716;-125;99;2699;0
48162;2017-10-02 00:37:12.497;37;63;3716;-125;99;2699;0
48163;2017-10-02 00:37:16.410;37;63;3716;-126;99;2699;0
48164;2017-10-02 00:37:20.410;37;63;3716;-128;99;2699;0
48165;2017-10-02 00:37:24.403;37;63;3716;-126;99;2698;0
48166;2017-10-02 00:37:28.417;37;63;3716;127;99;2698;0
48167;2017-10-02 00:37:32.440;37;63;3716;127;99;2698;0
48168;2017-10-02 00:37:36.480;37;63;3716;-125;99;2698;0
48169;2017-10-02 00:37:40.613;37;63;3716;-127;99;2698;0
48170;2017-10-02 00:37:44.410;37;63;3716;127;99;2698;0
48171;2017-10-02 00:37:48.400;37;63;3716;-125;99;2698;0
48172;2017-10-02 00:37:52.537;37;63;3716;126;99;2698;0
48173;2017-10-02 00:37:57.280;37;63;3716;-125;99;2697;0
48174;2017-10-02 00:38:01.520;37;63;3716;127;99;2697;0
48175;2017-10-02 00:38:05.427;37;63;3716;126;99;2697;0
48176;2017-10-02 00:38:09.443;37;63;3716;-128;99;2697;0
48177;2017-10-02 00:38:13.527;37;63;3716;127;99;2697;0
48178;2017-10-02 00:38:17.610;37;63;3716;-126;99;2697;0
48179;2017-10-02 00:38:21.427;37;63;3716;-126;99;2697;0
48180;2017-10-02 00:38:25.647;37;63;3716;-128;99;2697;0
48181;2017-10-02 00:38:29.710;37;63;3716;-125;99;2696;0
48182;2017-10-02 00:38:33.587;37;63;3716;-128;99;2696;0
48183;2017-10-02 00:38:37.637;37;63;3716;127;99;2697;0
48184;2017-10-02 00:38:41.520;37;63;3716;-127;99;2696;0
48185;2017-10-02 00:38:46.583;37;63;3716;125;99;2696;0
48186;2017-10-02 00:38:51.620;37;63;3716;-127;99;2696;0
48187;2017-10-02 00:38:55.883;37;63;3716;-128;99;2696;0
48188;2017-10-02 00:38:59.577;37;63;3716;127;99;2696;0
48189;2017-10-02 00:39:03.543;37;63;3716;-127;99;2696;0
48190;2017-10-02 00:39:07.610;37;63;3716;127;99;2695;0
48191;2017-10-02 00:39:12.520;37;63;3716;-127;99;2695;0
48192;2017-10-02 00:39:17.503;37;63;3716;126;99;2695;0
48193;2017-10-02 00:39:21.617;37;63;3716;127;99;2695;0
48194;2017-10-02 00:39:26.610;37;63;3716;-128;99;2695;0
48195;2017-10-02 00:39:30.513;37;63;3716;125;99;2695;0
48196;2017-10-02 00:39:34.520;37;63;3716;-126;99;2695;0
48197;2017-10-02 00:39:39.650;37;63;3716;125;99;2695;0
48198;2017-10-02 00:39:44.443;37;63;3716;-126;99;2694;0
48199;2017-10-02 00:39:48.587;37;63;3716;-127;99;2694;0
48200;2017-10-02 00:39:52.717;37;63;3716;-125;99;2694;0
48201;2017-10-02 00:39:57.463;37;63;3716;-127;99;2694;0
48202;2017-10-02 00:40:01.580;37;63;3716;124;99;2694;0
48203;2017-10-02 00:40:05.620;37;63;3716;-128;99;2694;0
48204;2017-10-02 00:40:09.610;37;63;3716;124;99;2694;0
48205;2017-10-02 00:40:14.490;37;63;3716;127;99;2694;0
48206;2017-10-02 00:40:18.620;37;63;3716;-128;99;2693;0
48207;2017-10-02 00:40:22.653;37;63;3716;124;99;2693;0
48208;2017-10-02 00:40:26.933;37;63;3716;-128;99;2693;0
48209;2017-10-02 00:40:31.620;37;63;3716;124;99;2693;0
48210;2017-10-02 00:40:35.627;37;63;3716;127;99;2693;0
48211;2017-10-02 00:40:39.620;37;63;3716;-127;99;2693;0
48212;2017-10-02 00:40:43.733;37;63;3716;127;99;2693;0
48213;2017-10-02 00:40:47.680;37;63;3716;-126;99;2693;0
48214;2017-10-02 00:40:51.703;37;63;3716;-127;99;2693;0
48215;2017-10-02 00:40:55.690;37;63;3716;126;99;2693;0
48216;2017-10-02 00:41:00.490;37;63;3716;-126;99;2693;0
48217;2017-10-02 00:41:04.040;37;63;3716;125;99;2692;0
